post_title,post_name,post_parent,ID,post_content,post_excerpt,post_status,post_password,menu_order,post_date,post_author,comment_status,sku,parent_sku,children,downloadable,virtual,stock,regular_price,sale_price,weight,length,width,height,tax_class,visibility,stock_status,backorders,sold_individually,low_stock_amount,manage_stock,tax_status,upsell_ids,crosssell_ids,purchase_note,sale_price_dates_from,sale_price_dates_to,download_limit,download_expiry,product_url,button_text,images,downloadable_files,product_page_url,meta:_yoast_wpseo_focuskw,meta:_yoast_wpseo_canonical,meta:_yoast_wpseo_bctitle,meta:_yoast_wpseo_meta-robots-adv,meta:_yoast_wpseo_is_cornerstone,meta:_yoast_wpseo_metadesc,meta:_yoast_wpseo_linkdex,meta:_yoast_wpseo_estimated-reading-time-minutes,meta:_yoast_wpseo_content_score,meta:_yoast_wpseo_title,meta:_yoast_wpseo_metakeywords
"Simla Bordered Starlight & Graphite Rug",simla-bordered-starlight-graphite-rug,,844,"A beautiful hand-woven rug, made to an extremely high standard by master weavers in India. Simla rugs are anti-static, soft to touch and hard-wearing.

The distressed look of this beautiful <a href=""http://luxuryrugs.com/designer/jacarandarugs/"" target=""_blank"" rel=""noopener"">Jacaranda</a> rug occurs when the pile crushes to reflect light in different directions, giving the appearance of silk velvet. It is immensely soft under foot and will add a luxurious, glossy look to interiors, traditional or contemporary.

This rug is constructed from TENCEL® which is a fibre made from wood, making it 100% eco-friendly. Tencel is almost identical to viscose but has has benefit of being much harder wearing and can be cleaned.","Hand-woven

Constructed from TENCEL®

100% Eco-Friendly",publish,,0,"2017-09-14 11:41:24",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/09/Simla-Bordered-Starlight-Graphite-Rug-L1.jpg ! alt : simla ! title : Simla Bordered Starlight &amp; Graphite Rug L1 ! desc :  ! caption : ",,https://luxuryrugs.com/product/simla-bordered-starlight-graphite-rug/,simla,,,,,"Simla rugs are anti-static, soft to touch and hard-wearing.",73,,30,,
"Otto Boucle Rug",otto-boucle-rug,,849,"This contemporary boucle rug will be a stylish addition to any room. Hand-woven on traditional hand-operated looms in India, this <a href=""http://luxuryrugs.com/designer/jacarandarugs/"" target=""_blank"" rel=""noopener"">Jacaranda Rug</a> constructed of pure undyed wool yarn is woven using a loop pile method, giving this gorgeous rug a unique texture and finish.

The Otto rug comes in six colours, Ivory, Beige, Iron Grey, Natural Chocolate, Oatmeal and Natural Charcoal.",,publish,,0,"2017-09-14 12:02:43",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/09/Otto-Iron-Grey-L3-e1538682892225.jpg ! alt : boucle ! title : Otto Iron Grey L3 ! desc :  ! caption : ",,https://luxuryrugs.com/product/otto-boucle-rug/,boucle,,,,,"This contemporary boucle rug will be a stylish addition to any room.",58,,30,,
"Heavy Velvet Rug by Jacaranda",heavy-velvet-rug,,853,"This beautiful hand-woven rug will add a touch of luxury to your home. <a href=""http://luxuryrugs.com/designer/jacarandarugs/"" target=""_blank"" rel=""noopener"">Jacaranda's</a> Heavy Velvet rug is constructed from 100% Pure Wool and hand-woven in India to the highest standards.

Coming in 16 colours, you will be spoilt for choice. Colours available: Atlantic Blue, Barley, Chocolate, Cloudy Grey, Dark Grey, Dusk, Eggshell, Ivory, Natural Grey, Night, Oatmeal, Pearl, Pewter, Silver, Smoke, Zinc.",,publish,,0,"2017-09-14 12:40:16",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/09/Heavy-Velvet-Atlantic-Blue-L2-e1538683045430.jpg ! alt : heavy velvet ! title : Heavy Velvet Atlantic Blue L2 ! desc :  ! caption : ",,https://luxuryrugs.com/product/heavy-velvet-rug/,"heavy velvet",,,,,"Jacaranda's Heavy Velvet rug is constructed from 100% Pure Wool and hand-woven in India to the highest standards",61,,30,,
"Mayfield Rug",mayfield-rug,,858,"This is a rug you'll really want to sink your feet into. The plush Mayfield rug is made from 100% pure New Zealand wool and comes in 6 beautiful colours to enhance your home: Buttermilk, Clay, Ebony, Grey, Ivory and Silver.",,publish,,0,"2017-09-14 14:04:16",2,closed,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/09/Mayfield-Silver-L2.jpg ! alt : mayfield ! title : Mayfield Silver L2 ! desc :  ! caption : ",,https://luxuryrugs.com/product/mayfield-rug/,"Mayfield Rug",,,,,"Mayfield Rug",48,,30,,
"Zig Zag Flatweave by Amy Kent",zig-zag-flatweave-by-amy-kent,,2435,"Hand woven wool and art silk flatweave

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:26:05",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/Zig-Zags-Flatweave-2-e1508419265205.jpg ! alt : zig zag luxury rugs ! title : Zig Zags Flatweave (2) ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/Zig-Zags-e1508355929456.jpg ! alt : zig zag luxury rugs ! title : Zig-Zags ! desc :  ! caption : ",,https://luxuryrugs.com/product/zig-zag-flatweave-by-amy-kent/,zigzag,,,,,"Zig Zag Flatweave Rug",56,,30,,
"Zebra Herringbone by Amy Kent",zebra-herringbone-by-amy-kent,,2436,"Hand knotted wool and art silk 100 knots

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:29:22",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/Zebra-Herringbone-100-e1508360303632.jpg ! alt : zebra luxury rugs ! title : Zebra Herringbone 100 ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/Zebra-Herringbone-e1508355943996.jpg ! alt : zebra luxury rugs ! title : Zebra-Herringbone ! desc :  ! caption : ",,https://luxuryrugs.com/product/zebra-herringbone-by-amy-kent/,zebra,,,,,"Zebra Herringbone Rug - Hand knotted wool and art silk 100 knots per sq inch",73,,30,,
"Urban Wave by Amy Kent",urban-weave-by-amy-kent,,2437,"Hand knotted wool and art silk 80 knots per sq inch

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:33:23",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/Urban-Wave-100-2-e1508419276256.jpeg ! alt : urban wave luxury rugs ! title : Urban Wave 100 ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/Urban-Wave-774x1024.jpg ! alt : urban wave luxury rugs ! title : Urban-Wave-774x1024 ! desc :  ! caption : ",,https://luxuryrugs.com/product/urban-weave-by-amy-kent/,"urban wave",,,,,"Urban Wave Rug - Hand knotted wool and art silk 80 knots per sq inch",70,,30,,
"Tribal by Amy Kent",tribal-by-amy-kent,,2438,"Hand knotted wool and art silk 80 knots per sq inch

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:43:57",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/Tribal-80-2-e1508419288736.jpg ! alt : tribal luxury rugs ! title : Tribal 80 ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/Tribal-e1508355969587.jpg ! alt : tribal luxury rugs ! title : Tribal ! desc :  ! caption : ",,https://luxuryrugs.com/product/tribal-by-amy-kent/,Tribal,,,,,"Tribal Hand knotted wool and art silk 80 knots per sq inch Rug",68,,30,,
"The Kiss by Amy Kent",kiss-by-amy-kent,,2439,"Hand knotted wool and art silk 80 knots per sq inch

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:47:06",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/The-Kiss-80-2-e1508419304623.jpg ! alt : kiss luxury rugs ! title : The Kiss 80 (2) ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/The-Kiss-e1508497159102.jpg ! alt : kiss luxury rugs ! title : The-Kiss ! desc :  ! caption : ",,https://luxuryrugs.com/product/kiss-by-amy-kent/,kiss,,,,,"The Kiss Rug Hand knotted wool and art silk 80 knots per sq inch",69,,30,,
"Storm by Amy Kent",storm-by-amy-kent,,2440,"Hand knotted wool and art silk 150 knots/sq inch

All our designs can be adapted, whether you are after a square rug, round rug or runner. We can give advice on how best to place your rug and help you measure up what the best size would be. If it is not possible to visit you we can match to fabric samples in the post and send you colour tufts and woven swatches.

Following our site visit we send a quotation and computer mock up of the design in the colours chosen so you can envisage as best as pos Once your rug is finished it is couriered by air to the UK so we can get it to you as soon as possible. Our wonderful delivery team then make a day and time that suits you and they will install your new piece exactly as you’d like it. They also supply underlay if needed and a protective sealant called micro-seal.

On delivery of your rug you will be given a care leaflet of how best to look after it and keep it in top condition. If you ever need any advice or a specialist cleaner we can supply that for you.

a 50% deposit to put your rug into production, they then typically take 12-20 weeks to make depending on the design and relevant knot.",,publish,,0,"2017-10-17 21:49:20",2,open,,,,no,no,,,,,,,,,,instock,no,no,,no,taxable,,,,,,'-1,'-1,,,"https://luxuryrugs.com/wp-content/uploads/2017/10/Storm-150-2-e1508419316504.jpg ! alt : storm luxury rugs chelsea ! title : Storm 150 (2) ! desc :  ! caption :  | https://luxuryrugs.com/wp-content/uploads/2017/10/Storm-1-e1508496942948.jpg ! alt : storm luxury rugs ! title : Storm-1 ! desc :  ! caption : ",,https://luxuryrugs.com/product/storm-by-amy-kent/,storm,,,,,"Storm Rug - Hand knotted wool and art silk 150 knots per sq inch",69,,30,,
